cliente_id,edad,antiguedad,prima_mensual,numero_siniestros,numero_reclamos,renovaciones,abandona
1,58,3,79.5,0,0,1,0
2,75,17,103.04,1,0,16,0
3,56,0,283.27,2,2,1,1
4,55,8,377.58,0,3,9,1
5,27,3,433.74,0,0,1,1
6,40,19,170.52,0,1,17,0
7,42,2,279.78,2,2,2,0
8,63,2,87.41,0,0,0,0
9,73,3,214.45,1,3,2,0
10,31,10,171.45,3,2,12,0
11,52,23,163.03,1,0,25,0
12,38,1,157.04,0,0,1,1
13,54,22,189.58,1,1,23,0
14,26,3,353.1,1,2,4,0
15,43,11,153.34,5,1,9,0
16,73,3,128.08,0,2,5,1
17,42,19,448.53,1,6,17,0
18,25,4,362.07,0,0,3,0
19,64,23,170.09,1,0,21,0
20,37,16,301.41,0,3,18,0
21,51,0,297.6,1,0,0,0
22,71,25,186.86,0,4,23,0
23,49,2,441.63,1,0,3,0
24,28,4,270.52,1,5,6,0
25,62,6,340.92,0,2,6,0
26,51,14,115.98,0,1,16,0
27,55,7,72.73,2,0,5,0
28,73,10,96.93,0,2,9,0
29,64,18,288.96,0,1,19,0
30,24,5,233.8,1,1,3,0
31,59,3,93.03,2,3,1,0
32,30,8,240.47,1,0,7,0
33,22,3,377.05,2,0,5,0
34,23,1,133.2,1,0,2,0
35,28,6,70.82,0,4,7,0
36,62,23,448.26,1,2,22,0
37,31,0,290.09,1,2,0,1
38,48,16,419.37,1,0,18,1
39,29,1,296.11,1,0,0,0
40,54,7,289.99,0,0,9,0
41,38,8,147.62,2,0,9,0
42,59,9,243.75,3,5,7,0
43,54,3,97.84,0,0,3,0
44,74,7,210.42,0,3,7,0
45,69,20,271.0,1,1,18,0
46,26,4,113.86,0,1,4,0
47,31,11,200.29,1,3,13,0
48,75,1,105.07,1,0,0,0
49,26,4,131.4,1,2,6,1
50,22,1,277.32,2,2,0,1
51,20,1,208.57,3,6,0,0
52,31,10,164.82,0,3,11,0
53,65,4,421.79,0,0,3,0
54,19,0,349.89,0,5,0,1
55,68,22,111.08,3,3,21,0
56,47,11,185.97,2,0,9,0
57,43,10,175.87,0,3,10,0
58,43,21,442.84,1,5,19,0
59,34,5,290.62,5,0,7,0
60,64,25,189.2,1,1,26,0
61,30,4,86.87,1,1,6,0
62,65,23,324.84,0,0,23,0
63,60,3,343.51,0,0,4,0
64,62,9,280.68,0,2,10,0
65,75,5,303.9,0,1,3,0
66,31,6,368.59,1,1,7,0
67,31,8,249.81,3,3,7,0
68,36,16,322.26,1,0,15,0
69,32,12,145.67,0,0,13,0
70,67,2,243.06,3,2,3,0
71,33,4,319.3,0,3,2,0
72,32,2,375.56,1,1,4,1
73,72,3,243.46,2,2,5,0
74,66,14,302.81,2,1,16,0
75,28,7,241.03,2,3,7,0
76,51,15,308.16,0,0,15,0
77,39,10,409.35,0,0,11,0
78,63,6,94.41,0,1,7,0
