siniestro_id,antiguedad_vehiculo,valor_vehiculo,severidad,tipo_siniestro,piezas_afectadas,requiere_grua,combustible,costo_reparacion
1,17,109569,Grave,Volcadura,8,1,Diesel,23516.11
2,11,50122,Media,Colision,6,0,Diesel,11851.45
3,13,114211,Grave,Colision,9,1,Hibrido,22377.7
4,17,162796,Grave,Choque_Multiple,8,1,Gasolina,20748.49
5,2,55556,Media,Inundacion,4,0,Hibrido,13504.22
6,16,114665,Leve,Colision,2,1,Diesel,8050.24
7,7,105590,Leve,Colision,5,0,Gasolina,9231.96
8,15,138048,Leve,Colision,3,1,Gasolina,8114.64
9,8,36345,Leve,Robo_Parcial,3,0,Gasolina,4669.33
10,6,73439,Media,Colision,7,0,Gasolina,13288.92
11,11,67089,Grave,Choque_Multiple,7,1,Gasolina,18556.02
12,18,28665,Media,Choque_Multiple,7,0,Gasolina,13370.26
13,3,81102,Grave,Volcadura,6,1,Gasolina,21293.58
14,3,72408,Grave,Inundacion,7,1,Gasolina,21089.81
15,10,57405,Media,Colision,4,0,Diesel,10190.29
16,2,111013,Media,Colision,3,0,Hibrido,11132.15
17,7,170205,Leve,Inundacion,1,0,Hibrido,12402.91
18,11,72001,Leve,Robo_Parcial,2,0,Diesel,6288.55
19,3,62582,Leve,Choque_Multiple,5,0,Gasolina,8612.68
20,11,77189,Leve,Robo_Parcial,3,0,Diesel,7995.14
21,8,177546,Media,Choque_Multiple,7,0,Diesel,13795.25
22,12,152017,Media,Colision,5,0,Gasolina,12912.29
23,4,32791,Leve,Colision,5,0,Gasolina,7279.88
24,10,65038,Leve,Robo_Parcial,3,0,Gasolina,5765.99
25,14,77935,Leve,Colision,1,0,Gasolina,5743.14
26,0,33283,Grave,Volcadura,10,1,Hibrido,24050.97
27,14,145496,Leve,Colision,1,0,Gasolina,5659.99
28,13,60255,Leve,Colision,3,0,Gasolina,5194.26
29,17,175001,Media,Robo_Parcial,6,0,Gasolina,15519.86
30,12,117474,Media,Colision,8,1,Gasolina,15397.71
31,18,32051,Media,Robo_Parcial,4,0,Gasolina,11638.16
32,1,89023,Leve,Robo_Parcial,1,1,Gasolina,5461.59
33,10,69506,Leve,Colision,1,0,Hibrido,6712.79
34,8,30348,Media,Robo_Parcial,7,0,Gasolina,11861.95
35,15,51229,Media,Colision,2,0,Gasolina,8868.3
36,9,120245,Grave,Colision,6,1,Gasolina,15829.39
37,17,81119,Leve,Colision,4,0,Diesel,8318.18
38,2,176569,Leve,Colision,5,0,Gasolina,10405.55
39,2,104127,Media,Colision,5,0,Gasolina,10084.55
40,16,143811,Media,Robo_Parcial,7,0,Gasolina,14041.48
41,15,80824,Media,Volcadura,7,0,Hibrido,17598.71
42,13,173404,Media,Colision,6,0,Diesel,15422.13
43,9,139134,Leve,Volcadura,5,0,Gasolina,12804.78
44,9,67096,Leve,Robo_Parcial,2,0,Gasolina,6997.26
45,9,146676,Media,Inundacion,2,0,Gasolina,14871.7
46,0,92737,Media,Colision,3,1,Diesel,9894.81
47,0,39503,Grave,Colision,6,1,Hibrido,15152.0
48,13,120272,Media,Volcadura,3,0,Gasolina,16406.4
49,18,156137,Grave,Robo_Parcial,11,1,Electrico,23059.85
50,8,155141,Grave,Colision,11,1,Gasolina,23388.94
51,18,127223,Media,Choque_Multiple,7,1,Gasolina,16284.76
52,8,140205,Leve,Volcadura,5,0,Gasolina,14042.05
53,17,136091,Media,Colision,5,1,Gasolina,15601.39
54,11,105785,Leve,Inundacion,1,0,Electrico,9854.77
55,7,91317,Media,Colision,7,0,Gasolina,12049.61
56,7,140973,Leve,Inundacion,1,0,Gasolina,11804.44
57,7,102967,Leve,Volcadura,5,0,Diesel,12191.72
58,13,33881,Leve,Colision,3,0,Hibrido,5677.57
59,10,135720,Grave,Volcadura,10,1,Gasolina,23865.24
60,11,135328,Media,Choque_Multiple,5,1,Gasolina,13701.99
61,5,141235,Media,Colision,3,0,Gasolina,11561.59
62,5,90432,Media,Inundacion,7,0,Diesel,14106.96
63,10,143355,Media,Choque_Multiple,5,0,Diesel,16077.7
64,6,47124,Leve,Colision,6,0,Gasolina,5861.2
65,0,171415,Media,Robo_Parcial,10,0,Diesel,15028.17
66,5,38050,Leve,Colision,2,0,Electrico,7011.25
67,3,28700,Media,Colision,7,0,Gasolina,10038.6
68,6,74950,Grave,Choque_Multiple,9,1,Gasolina,22291.73
69,13,79160,Media,Inundacion,5,0,Gasolina,16150.32
70,4,32542,Leve,Colision,1,0,Diesel,2669.19
71,14,47475,Leve,Colision,1,0,Diesel,6929.11
72,13,92168,Leve,Robo_Parcial,6,0,Gasolina,10985.92
73,1,26405,Leve,Robo_Parcial,2,0,Electrico,7903.69
74,17,35780,Media,Colision,1,0,Gasolina,7937.39
75,10,164047,Leve,Colision,1,0,Electrico,11869.9
76,8,119527,Grave,Colision,11,1,Diesel,20461.04
77,8,160521,Leve,Volcadura,1,0,Gasolina,14676.93
78,14,38951,Leve,Colision,3,0,Gasolina,7359.09
79,3,154737,Leve,Colision,2,0,Hibrido,6918.38
80,4,57415,Leve,Colision,2,0,Hibrido,8123.33
81,18,178531,Leve,Inundacion,6,0,Hibrido,15816.34
82,7,155576,Media,Volcadura,8,0,Gasolina,18952.84
83,18,52805,Grave,Colision,12,1,Diesel,22512.59
84,14,95600,Media,Colision,8,0,Gasolina,13319.73
85,18,58900,Leve,Colision,2,1,Gasolina,6472.94
86,12,49261,Leve,Colision,6,1,Hibrido,9563.74
87,5,126843,Media,Colision,6,1,Gasolina,11587.99
88,13,106291,Grave,Robo_Parcial,8,1,Gasolina,20661.31
89,6,153351,Leve,Colision,2,1,Gasolina,9833.48
90,11,73852,Leve,Colision,4,0,Gasolina,7657.6
91,4,154845,Media,Robo_Parcial,7,1,Hibrido,16798.99
92,9,63956,Grave,Robo_Parcial,9,1,Gasolina,20467.43
93,18,37511,Media,Inundacion,3,0,Gasolina,12604.53
94,18,91422,Leve,Robo_Parcial,3,0,Gasolina,8403.42
95,5,128011,Leve,Colision,2,0,Diesel,6200.29
96,14,94487,Leve,Inundacion,3,1,Electrico,12644.47
97,8,52873,Leve,Colision,2,0,Gasolina,5513.61
98,12,152591,Leve,Choque_Multiple,1,0,Diesel,8138.86
99,9,47973,Leve,Colision,3,0,Hibrido,7052.7
100,6,151121,Media,Robo_Parcial,3,0,Gasolina,12460.39
101,9,146484,Leve,Colision,5,0,Gasolina,11078.23
102,15,148598,Leve,Colision,3,0,Gasolina,9637.6
103,10,27064,Leve,Volcadura,1,0,Gasolina,9119.31
104,17,101224,Leve,Colision,1,0,Hibrido,7288.86
105,15,85792,Media,Robo_Parcial,4,1,Hibrido,14038.53
106,13,149082,Leve,Robo_Parcial,1,0,Gasolina,7216.39
107,6,148008,Leve,Colision,3,0,Gasolina,10351.47
108,14,59382,Grave,Choque_Multiple,8,1,Electrico,22552.57
109,11,148817,Media,Volcadura,4,0,Diesel,15932.93
110,4,70427,Leve,Robo_Parcial,4,0,Gasolina,8345.2
111,6,170969,Leve,Colision,4,1,Hibrido,10237.9
112,16,33380,Media,Colision,6,0,Gasolina,11632.13
113,10,118124,Media,Choque_Multiple,2,0,Hibrido,11677.48
114,3,38217,Grave,Colision,6,1,Gasolina,16342.65
115,3,51704,Media,Colision,8,0,Hibrido,13631.27
